0f95256,Pedro Martinho,15-01-2018 17:06:21,Adição do ficheiro de cálculo de esforço.
e703793,luispinho,14-01-2018 22:49:33,Adição do script para popular a BD. Versão beta, recebe inputs de login e instruções a executar.
a0571de,luispinho,14-01-2018 19:20:51,Pequena alteração na classe Driver. O fisio consegue agora concluir treinos.
e36ffd2,RuiDuarte,14-01-2018 18:44:29,totais nas percentagens_tarefas
c9f3cba,Pedro Martinho,14-01-2018 18:28:57,Alteração dos valores no ficheiro Percentagens_Tarefas.ods
66e2c92,Pedro Martinho,14-01-2018 18:20:00,Adição das tabelas de participação nas tarefas. Atualização do gráfico de Gantt.
5d1411a,Pedro Martinho,14-01-2018 17:52:52,Adição da função getTreinoEstado().
34aa0e8,RuiDuarte,14-01-2018 04:13:15,Merge branch 'master' of https://bitbucket.org/Pinho27/ptda4
89295d9,RuiDuarte,14-01-2018 04:04:39,Alteração de privilegios no grupo fisioterapeuta; eliminição do caso de uso "enviar plano"
0f0d31a,luispinho,14-01-2018 03:59:13,Adição de interface logs no Admin. Criação da interface Fisio. Fisio consegue editar e criar treinos na interface. Alterações na interface admin. Alteração dos gráficos (2 em vez de 4). Criação e implementação da tab Alertas. Ao editar um tratamento e possível editar os limites definidos para o user. Criação de ficheiros para estruturas de dados (para os logs). Otimização do código. Adição de botão logout ao footer das interfaces.
4700b1c,RuiDuarte-PC\Rui Duarte,13-01-2018 21:31:05,-reformulacao diagrama classes -update diagrama db
92aa828,RuiDuarte,13-01-2018 21:20:48,formatacao da tabela authoring
ef68f09,luispinho,10-01-2018 00:40:34,Adicionada parte da interface no paciente para mostrar os limites definidos. Os gráficos estão operacionais. Ao adicionar um tratamento, adiciona também os limites introduzidos. Pequena correção na Driver (função getTratamentos()).
fdf1421,Pedro Martinho,09-01-2018 21:02:40,Correcção de erro na função enviarDados().
ba6de87,Pedro Martinho,09-01-2018 19:21:11,Correcção dos erros do ultimo commit.
1c880c3,Pedro Martinho,08-01-2018 22:59:48,Adição das funções enviarDados(), getDados(), getLimites(), setLimites() e simplificação do código.
11995b9,luispinho,05-01-2018 13:48:54,Treinos a aparecer na interface gráfica. Alteração da interface de treinos. Bug fixes.
c9198d0,Pedro Martinho,05-01-2018 13:03:42,Adição e alteração de algumas funções.
c925176,luispinho,05-01-2018 12:32:49,Adicionados gráficos á interface Doc. Restrição nos dados que podem ser editados pelo admin. Fix do médoto "finalizarTratamento" na driver.
1dc62f8,RuiDuarte,04-01-2018 18:06:30,-fix roles logs_utilizador
59c4e4d,RuiDuarte,04-01-2018 02:44:26,edit editpaciente create editfunc, editTratamento, editTreino, getTratamentoEstado fix trigger treino
1ffd7c6,RuiDuarte,04-01-2018 00:50:22,-fix nas permissoes de admin -fix nas permissoes das views -criacao logs_paciente_alertas,trigger e update roles -fix nos triggers de estado -fix no trigger alertas update authoring.xls a reflectir as alteracoes -criacao de trigger def_alertas
41db758,luispinho,03-01-2018 23:27:49,Adicionada função gráfica para adicionar e editar tratamentos. O admin já consegue adicionar pacientes. Ficheiro "Driver": bug fixes e adicionada função para ir buscar os dados de um tratamento. Edição do método de criação de funcionário.
0c16191,luispinho,03-01-2018 20:54:37,Bug fixes.
875f0c3,RuiDuarte-PC\Rui Duarte,03-01-2018 19:51:07,-fix triggers -fix roles -update authoring -criacao backup DB
dd12a56,Pedro Martinho,03-01-2018 18:01:52,Adição de funções.
b2ce83a,RuiDuarte-PC\Rui Duarte,03-01-2018 17:20:12,fix triggers (again)
e9bbeb4,RuiDuarte-PC\Rui Duarte,03-01-2018 16:22:24,fix
b17791d,RuiDuarte-PC\Rui Duarte,03-01-2018 16:04:44,fix triggers
4c04e16,RuiDuarte-PC\Rui Duarte,02-01-2018 21:15:44,fix
b48ac2a,RuiDuarte-PC\Rui Duarte,02-01-2018 21:12:12,update roles update authoring update diagrama DB
2c82c8a,Pedro Martinho,02-01-2018 18:49:40,Adição de funções. Correcção de erros.
746f2f1,luispinho,02-01-2018 03:29:55,Correção de bugs no logout. Criação e implementação das janelas de edit de utilizadores. Adicionado botão de refresh na interface do admin. Ajuste nas interfaces gráficas. Verificação de erros na introdução de dados ao criar e editar utilizadores e tratamentos. Adição de documentação JavaDoc. Refactoring de código. Bug fixes. Métodos para normalizar formato de datas. Remoção das notas do paciente. Criação do método getDriver() para poder utilizar a BD a partir de outras classes para além da Main.
c3c1162,luispinho,29-12-2017 22:12:07,Alteração da tabela de Authoring. Adição de classes e UIs para edição de pacientes, funcionários e tratamentos. Funcionamento com dados reais a partir da BD. Correção de bugs e otimização do código.
d3075ab,Pedro Martinho,29-12-2017 18:29:51,Correcção de bug no authoring.
5b9f0a9,Pedro Martinho,29-12-2017 18:18:50,Alteração do authoring.
51ccfed,Pedro Martinho,29-12-2017 17:20:24,Adição de funções de query. Alteração dos add().
d2f6508,Pedro Martinho,29-12-2017 16:48:51,Atualização da Base de Dados.
57bb85f,Pedro Martinho,29-12-2017 16:30:58,Atualização da BD.
bf379eb,Pedro Martinho,29-12-2017 15:47:05,Atualização da Base de Dados.
6827993,Pedro Martinho,28-12-2017 12:12:24,Correção de um erro do ultimo commit.
7b0193e,Pedro Martinho,28-12-2017 12:10:18,Adição de getters.
1d1fadc,Pedro Martinho,27-12-2017 12:15:53,Adição de duas funções nas classes de conectividade.
43030eb,Pedro Martinho,27-12-2017 00:23:59,Modificação dos ficheiros das funções.
491ee7b,RuiDuarte-PC\Rui Duarte,26-12-2017 23:33:10,update diagrama
3045d2e,RuiDuarte-PC\Rui Duarte,26-12-2017 23:10:45,-xls c/ alertas -update sql c/alertas personalizados -update authoring
f681c3e,luispinho,26-12-2017 20:56:54,Organização da estrutra de pastas. Novo pop-up com info sobre o funcionário logado. Libraria JBDC adicionada ao projeto. Remoção de ficheiros obsoletos.
38161f0,Pedro Martinho,26-12-2017 17:14:57,Adição dos ficheiros de ligação e de manipulação da base de dados.
81e1149,luispinho,26-12-2017 17:06:58,Criação da pasta "Software". Primeiro commit e adição do programa principal em Java.
8bc351f,RuiDuarte-PC\Rui Duarte,26-12-2017 16:19:22,fix tables; update trigger alertas
bd93566,RuiDuarte-PC\Rui Duarte,21-12-2017 18:14:17,atualizacao diagrama base de dados eliminacao tabela logs_dados e respectivo trigger
7e8e242,RuiDuarte-PC\Rui Duarte,21-12-2017 17:41:31,-tabela de alertas -trigger alertas
78502d9,luispinho,21-12-2017 16:13:38,Alteração de nomes de ficheiros obsoletos.
635ccbf,RuiDuarte-PC\Rui Duarte,21-12-2017 05:05:36,db: criacao de roles; trigger para a alterar o estado da coluna em_tratamento; trigger para encriptacao;
dd5eee9,RuiDuarte-PC\Rui Duarte,21-12-2017 04:17:17,numeracao dos scripts ajustes à DB
7654fd5,Pedro Martinho,19-12-2017 12:43:35,Actualização da base de dados.
078df0f,RuiDuarte-PC\Rui Duarte,19-12-2017 03:45:17,fix2
a125ffa,RuiDuarte-PC\Rui Duarte,19-12-2017 03:17:47,fix last commit
1f6439e,RuiDuarte-PC\Rui Duarte,19-12-2017 03:13:48,Alteracao do diagrama da DB DB: -views actualizaveis -encriptacao de passwords -authoring
3e5da46,RuiDuarte-PC\Rui Duarte,14-12-2017 18:58:52,Screenshot da DB Scripts iniciais da DB
4d59865,Pedro Martinho,30-10-2017 15:29:47,Adição da ata nº6.
47be55d,Daniel Martins,30-10-2017 14:36:00,update actividades screenshot
e22258c,Pedro Martinho,30-10-2017 11:14:45,Conclusão do diagrama de classes.
698f590,Rui Duarte,29-10-2017 19:42:06,update classes update usecases screenshots
c9f982f,Daniel Martins,29-10-2017 14:16:11,Diagramas de Atividades geral e individuais
6bbfaa1,Pedro Martinho,23-10-2017 15:48:28,Adição da 5ª Ata. Alteração do diagrama de classes.
b4eb5ea,Rui Duarte,22-10-2017 18:45:45,Versão inicial do diagrama de classes; Cleanup
2376ec2,Rui Duarte,21-10-2017 20:07:27,Reformulação do Use-cases Upload do screenshot
7e08dd9,Rui Duarte,21-10-2017 17:12:10,Revisão do diagrama de casos de uso Alteração da localização do mesmo
4037e44,Pedro Martinho,19-10-2017 15:48:30,Adição da 4a ata. Adição do diagrama dos casos de uso.
de4fd2a,Pedro Martinho,11-10-2017 12:20:59,Alteração no ficheiro dos requisitos
78b6d24,Pedro Martinho,11-10-2017 12:01:47,Adição da Lista de Requisitos
b845823,Pedro Martinho,09-10-2017 16:21:23,Adição das atas
dc97438,luispinho,09-10-2017 16:05:02,First commit.